   160/499     1.44G   0.03167   0.03159         0   0.06327        43       416    0.7183    0.8682    0.8846    0.5856   0.03705   0.01429         0
   161/499     1.44G   0.03165   0.03141         0   0.06306        37       416     0.723     0.863    0.8834    0.5859   0.03705   0.01428         0
   162/499     1.44G   0.03171   0.03132         0   0.06303        29       416    0.7196    0.8605     0.881    0.5877   0.03705   0.01427         0
   163/499     1.44G    0.0317   0.03152         0   0.06323        43       416    0.7268     0.863     0.882    0.5869   0.03704   0.01427         0
   164/499     1.44G   0.03184   0.03163         0   0.06347        32       416    0.7223     0.863    0.8829    0.5872   0.03702   0.01426         0
   165/499     1.44G   0.03158   0.03135         0   0.06293        32       416    0.7181     0.863    0.8827    0.5881   0.03701   0.01425         0
   166/499     1.44G   0.03161   0.03142         0   0.06303        38       416      0.72     0.863    0.8828    0.5885   0.03698   0.01424         0
   167/499     1.44G   0.03182   0.03128         0    0.0631        29       416    0.7226     0.863     0.885    0.5884   0.03697   0.01423         0
   168/499     1.44G   0.03152   0.03111         0   0.06263        34       416    0.7237    0.8656    0.8866     0.587   0.03692   0.01422         0
   169/499     1.44G   0.03132   0.03127         0   0.06259        36       416    0.7202    0.8656    0.8847    0.5872   0.03689   0.01422         0
   170/499     1.44G   0.03154   0.03107         0   0.06261        28       416    0.7185    0.8656    0.8848    0.5882   0.03686   0.01421         0
   171/499     1.44G   0.03129   0.03087         0   0.06216        32       416    0.7173    0.8656    0.8867      0.59   0.03684    0.0142         0
   172/499     1.44G    0.0314   0.03097         0   0.06236        36       416    0.7158    0.8656    0.8861    0.5899   0.03683   0.01418         0
   173/499     1.44G   0.03119   0.03136         0   0.06255        31       416    0.7143    0.8656    0.8863     0.591   0.03681   0.01418         0
   174/499     1.44G   0.03136   0.03077         0   0.06213        31       416    0.7138    0.8656    0.8861     0.589   0.03679   0.01417         0
   175/499     1.44G   0.03106   0.03077         0   0.06184        29       416    0.7112    0.8656    0.8858    0.5896   0.03678   0.01417         0
   176/499     1.44G   0.03116   0.03088         0   0.06204        35       416     0.714    0.8708    0.8862    0.5914   0.03678   0.01416         0
   177/499     1.44G   0.03107   0.03091         0   0.06198        28       416    0.7133    0.8708    0.8865    0.5926   0.03677   0.01416         0
   178/499     1.44G   0.03102    0.0311         0   0.06212        30       416     0.715    0.8708    0.8878    0.5913   0.03676   0.01415         0
   179/499     1.44G   0.03095   0.03086         0   0.06181        34       416    0.7149    0.8708    0.8865    0.5932   0.03675   0.01416         0
   180/499     1.44G   0.03095   0.03114         0   0.06209        38       416    0.7179    0.8708    0.8865     0.593   0.03674   0.01416         0
   181/499     1.44G   0.03108   0.03098         0   0.06206        29       416    0.7237    0.8682    0.8855    0.5929   0.03672   0.01415         0
   182/499     1.44G   0.03106   0.03077         0   0.06184        37       416    0.7248    0.8682     0.886    0.5929    0.0367   0.01415         0
   183/499     1.44G   0.03105   0.03054         0   0.06159        35       416    0.7284    0.8682    0.8862    0.5927   0.03667   0.01414         0
   184/499     1.44G   0.03071   0.03057         0   0.06128        34       416    0.7272    0.8682    0.8863    0.5943   0.03667   0.01413         0
   185/499     1.44G   0.03079   0.03082         0   0.06161        36       416    0.7329    0.8682     0.887    0.5952   0.03666   0.01412         0
   186/499     1.44G   0.03055   0.03056         0   0.06111        31       416    0.7368    0.8734     0.891    0.5941   0.03665   0.01411         0
   187/499     1.44G   0.03073   0.03069         0   0.06142        33       416    0.7338    0.8708    0.8872    0.5948   0.03665   0.01411         0
   188/499     1.44G   0.03063   0.03054         0   0.06118        28       416    0.7361    0.8734    0.8907    0.5946   0.03664    0.0141         0
   189/499     1.44G   0.03073   0.03064         0   0.06137        34       416    0.7318    0.8708     0.887    0.5957   0.03664    0.0141         0
   190/499     1.44G   0.03058   0.03081         0   0.06139        23       416    0.7356    0.8708    0.8894    0.5947   0.03661   0.01408         0
   191/499     1.44G   0.03072   0.03037         0   0.06109        31       416    0.7395    0.8734    0.8887    0.5966    0.0366   0.01408         0
   192/499     1.44G    0.0306   0.03058         0   0.06118        42       416    0.7405    0.8734    0.8885    0.5979   0.03659   0.01407         0
   193/499     1.44G   0.03042   0.03056         0   0.06099        35       416    0.7414    0.8734    0.8882    0.5985   0.03659   0.01407         0
   194/499     1.44G   0.03033   0.03063         0   0.06097        46       416    0.7375    0.8712    0.8882    0.5981   0.03658   0.01407         0
   195/499     1.44G   0.03011   0.03046         0   0.06056        32       416    0.7379    0.8708    0.8884     0.598   0.03656   0.01406         0
   196/499     1.44G   0.03029   0.03028         0   0.06057        30       416    0.7368    0.8708    0.8878    0.5968   0.03655   0.01406         0
   197/499     1.44G   0.03043   0.03049         0   0.06091        32       416    0.7357    0.8704    0.8876     0.597   0.03655   0.01406         0
   198/499     1.44G   0.03034      0.03         0   0.06034        41       416    0.7377    0.8682    0.8891    0.5978   0.03655   0.01406         0
   199/499     1.44G   0.03046   0.03042         0   0.06087        34       416    0.7374    0.8682    0.8911    0.5977   0.03653   0.01406         0
   200/499     1.44G   0.03061   0.03011         0   0.06071        36       416    0.7387    0.8708    0.8913    0.5972   0.03651   0.01406         0
   201/499     1.44G   0.02992   0.03007         0   0.05999        31       416     0.735    0.8708    0.8912    0.5961   0.03651   0.01406         0
   202/499     1.44G   0.03015   0.03024         0   0.06039        34       416    0.7359    0.8708    0.8911     0.596   0.03651   0.01405         0
   203/499     1.44G   0.03006   0.03002         0   0.06008        33       416    0.7368    0.8734    0.8915    0.5958    0.0365   0.01405         0
   204/499     1.44G   0.03006   0.03026         0   0.06032        33       416    0.7335     0.876    0.8917    0.5967    0.0365   0.01404         0
   205/499     1.44G   0.02993   0.02998         0   0.05992        27       416    0.7352     0.876    0.8917    0.5974    0.0365   0.01404         0
   206/499     1.44G   0.02997   0.03028         0   0.06025        33       416    0.7372    0.8786    0.8952    0.5983   0.03649   0.01402         0
   207/499     1.44G   0.02994    0.0299         0   0.05984        28       416    0.7368    0.8786    0.8931       0.6   0.03647   0.01402         0
   208/499     1.44G   0.02976   0.02997         0   0.05973        34       416    0.7386    0.8786    0.8956    0.6001   0.03646   0.01402         0
   209/499     1.44G   0.02993   0.03038         0   0.06031        37       416    0.7404    0.8811    0.8951    0.5995   0.03646   0.01401         0
   210/499     1.44G   0.03023   0.03004         0   0.06027        28       416    0.7374    0.8811    0.8952    0.5991   0.03645   0.01401         0
   211/499     1.44G   0.02986   0.03009         0   0.05995        32       416    0.7391    0.8811    0.8953    0.5998   0.03644   0.01401         0
   212/499     1.44G   0.02978   0.02974         0   0.05952        34       416    0.7372    0.8811    0.8953    0.5999   0.03643     0.014         0
   213/499     1.44G   0.02964   0.02999         0   0.05963        34       416    0.7381    0.8811    0.8955    0.5994   0.03642     0.014         0
   214/499     1.44G   0.02959   0.03004         0   0.05963        40       416    0.7369    0.8811    0.8948    0.6016   0.03642   0.01399         0
   215/499     1.44G   0.02966   0.02972         0   0.05939        37       416    0.7394    0.8811    0.8951    0.6013   0.03641   0.01399         0
   216/499     1.44G   0.02995   0.02997         0   0.05991        34       416    0.7403    0.8811    0.8959    0.6016    0.0364   0.01399         0
   217/499     1.44G   0.02967   0.02985         0   0.05952        37       416    0.7403    0.8811    0.8959    0.6024    0.0364   0.01399         0
   218/499     1.44G   0.02948   0.02977         0   0.05925        28       416    0.7418    0.8837    0.8962    0.6019    0.0364   0.01397         0
   219/499     1.44G   0.02951   0.02954         0   0.05905        35       416    0.7448    0.8811    0.8963    0.6009    0.0364   0.01397         0
   220/499     1.44G   0.02959   0.03001         0   0.05961        46       416    0.7457    0.8811    0.8954    0.6012   0.03638   0.01396         0
   221/499     1.44G   0.02948   0.02956         0   0.05904        30       416     0.746    0.8786    0.8942    0.6017   0.03638   0.01396         0
   222/499     1.44G   0.02938   0.02944         0   0.05883        39       416    0.7437    0.8786     0.894    0.6022   0.03637   0.01395         0
   223/499     1.44G   0.02917   0.02921         0   0.05837        31       416    0.7388    0.8786     0.894    0.6014   0.03637   0.01394         0
